Species,HL_extension,Limb_status,LimbN,Comp1,Comp2,Comp3,Substrate category,Clade,SkW,HdL,SVL,FLL,HLL,PSVn,FLprop,HLprop,Disparity,Man,Pes,FL_extension,measured from scan,
Lerista_arenicola,5,3,2,-0.102878053,-0.036942547,-0.006945494,sand,Lerista,3992.8,7.523711129,49.1,8.5925,14.8282,33,17.5,30.2,0.420501443,5,5,5,psv,
Lerista_baynesi,4,1,2,0.081314306,0.037623439,-0.002336504,sandy soil,Lerista,,7.765408178,69.7,0.697,8.1549,41,1,11.7,0.914417783,1,2,2,,
Lerista_bipes,5,1,1,0.025833924,0.0028212,0.019212809,sand,Lerista,2911.12,4.886575395,49.9,0,8.3832,44,0,16.8,0.999880728,0,2,0,,
Lerista_borealis,5,2,2,-0.000924258,0.043823484,-0.016782845,sandy soil,Lerista,3508.82,7.182,57.138,4.524,8.796,40,7.917673002,15.39430852,0.485620098,2,3,4,,
Lerista_bougainvillii,5,3,2,0.014740892,-0.012667969,-0.017450716,soil,Lerista,3482.31,6.41,56.4,8.602735978,14.1,37,15.25307798,25,0.389849232,5,5,5,,
Lerista_christinae,5,3,2,-0.089852697,0.03654624,-0.009240463,sandy soil,Lerista,2491.59,5.412184792,35.135,6.3243,11.2432,32,18,32,0.437461091,4,4,5,,
Lerista_connivens,5,1,1,0.103292709,-0.025474835,0.014529044,sandy soil,Lerista,3261.49,7.516,65.974,0,9.848,43,0,14.92709249,0.999898467,0,2,1,,
Lerista_desertorum,5,1,2,0.030444615,0.025901127,-0.026653321,sandy soil,Lerista,4068.38,7.859612936,73.4,2.8626,11.5238,44,3.9,15.7,0.751527141,2,3,3,,
Lerista_distinguenda,5,2,2,-0.078632941,0.042342586,-0.024540375,soil,Lerista,2902.47,5.911337209,38.5,5.236,9.9715,36,13.6,25.9,0.474855854,4,4,4,,
Lerista_dorsalis,5,2,2,-0.033786009,0.029074379,0.007565157,sandy soil,Lerista,,5.775604714,46.1,4.61,10.3725,40,10,22.5,0.555502,4,4,4,,
Lerista_edwardsae,5,1,1,0.122662815,-0.048767918,0.042598296,sandy soil,Lerista,3888.85,8.509569578,72.9,0,10.7892,42,0,14.8,0.999907323,0,2,2,,
Lerista_elegans,5,2,2,-0.052398817,-0.008860948,0.009919332,sandy soil,Lerista,2802.81,5.8,42.23,5.202,9.418,33,12.31825716,22.30168127,0.447605903,4,4,5,,
Lerista_eupoda,5,1,2,0.062263205,-0.006895451,0.029799924,sandy soil,Lerista,,7.556666667,64.75,3.106666667,11.58,44,4.797940798,17.88416988,0.731658176,2,3,3,,
Lerista_flammicauda,5,2,2,-0.065773597,0.004673566,-0.023785918,soil,Lerista,3056.42,7.082,51.974,7.576,11.914,32,14.57651903,22.92299996,0.364078892,4,4,4,,
Lerista_frosti,5,2,2,-0.02149656,-0.05982327,-0.003910476,sandy soil,Lerista,2958.16,6.58,50.416,5.088,10.742,38,10.09203427,21.30672802,0.526296193,4,4,5,,
Lerista_gascoynensis,5,1,1,0.00580247,0.01293833,0.043174928,sandy soil,Lerista,3335.47,6.544,60.578,0,11.276,43,0,18.61401829,0.999911324,0,2,2,,
Lerista_gerrardii,5,1,2,0.058219937,0.051745506,0.003436431,sandy soil,Lerista,,7.443799474,73.69074074,2.358103704,10.53777593,47,3.2,14.30000001,0.776150122,2,2,3,,
Lerista_greeri,5,1,1,0.073488405,-0.032171205,0.017462711,sandy soil,Lerista,,6,61.104,0,9.32,42,0,15.25268395,0.999892715,0,2,0,,
Lerista_griffini,5,1,1,0.032337104,0.025959365,0.039257051,sandy soil,Lerista,,6.294,60.838,0,9.196,43,0,15.11555278,0.999891269,0,2,0,,
Lerista_haroldi,5,2,2,0.017013399,0.002492244,0.013070133,sand,Lerista,,5.9425,37.7725,4.875,10.2525,34,12.90621484,27.14276259,0.524455064,3,3,4,,
Lerista_humphriesi,2,1,1,0.199958176,-0.056102916,-0.015819131,sandy soil,Lerista,,5,53.62,0,2.37,48,0,4.41999254,0.999578237,0,0,0,,
Lerista_ips,5,1,1,0.00311966,0.076362431,-0.009427125,sand,Lerista,,6.05,63.856,0,11.734,44,0,18.37572037,0.999914785,0,2,0,,
Lerista_kalumburu,5,1,2,0.038752226,-0.025446637,-0.002807337,sandy soil,Lerista,2882.33,5.726,55.392,1.794,8.224,42,3.238734835,14.8469093,0.781762918,1,3,2,,
Lerista_karlschmidti,3,1,1,0.124622024,0.026522976,-0.030692712,sandy soil,Lerista,2392.39,5.968,62.576,0,2.256,50,0,3.605216057,0.999556934,0,1,0,,
Lerista_kennedyensis,5,1,1,0.048790333,0.023372937,-0.007493118,sand,Lerista,3029.13,5.972,56.732,0.744,10.71,42,1.311429176,18.87823451,0.930445337,0,2,2,,
Lerista_labialis,5,1,1,0.007126855,-0.002795256,0.007281014,sand,Lerista,2455.25,5.269161508,53.1,0,8.6553,46,0,16.3,0.999884477,0,2,0,,
Lerista_lineata,5,2,2,0.008011843,-0.007839117,0.023905895,sandy soil,Lerista,,5.76483565,47,3.525,9.964,37,7.5,21.2,0.646161565,2,3,4,,
Lerista_lineopunctulata,3,1,2,0.108478383,0.012627432,0.019993881,sand,Lerista,4084.05,9.304,85.052,0.792,9.274,46,0.931195034,10.9039176,0.914501348,0,2,1,,
Lerista_macropisthopus,4,1,2,0.018808354,0.021373272,0.002506888,sand,Lerista,,7.078026667,70.78026667,2.448088122,10.54030625,46,3.458715596,14.89158878,0.767667492,2,3,3,,
Lerista_microtis,5,3,2,-0.032018123,0.00926255,0.017736752,sand,Lerista,,6.017980329,40.05102041,6.660879563,12.00672376,36,16.63098591,29.97857142,0.445200465,5,5,5,,
Lerista_muelleri,5,2,2,0.005719143,0.0099246,0.012444945,sandy soil,Lerista,2436.73,5.072,37.564,4.206,8.662,41,11.19689064,23.05931211,0.514371465,3,3,3,,
Lerista_neander,4,2,2,-0.026034768,0.027878284,-0.007390449,sandy soil,Lerista,,8.476,78.612,4.408,11.294,45,5.607286419,14.36676334,0.609650288,2,2,3,,
Lerista_nichollsi,5,1,1,0.091933366,-0.060788982,0.004200792,sand,Lerista,2509.9,6.36,59.87,0,10.76,41,0,17.97227326,0.999907072,0,2,1,,
Lerista_onsloviana,5,1,1,0.04011698,-0.010294181,-0.005929794,sand,Lerista,,5.752261546,55,0,9.625,43,0,17.5,0.999896115,0,2,1,,
Lerista_orientalis,5,2,2,-0.031587525,0.015456761,-0.089322998,soil,Lerista,2651.42,5.71,38.486,4.044,8.596,38,10.50771709,22.33539469,0.52948703,4,4,4,,
Lerista_petersoni,5,1,2,0.034853258,-0.02513703,0.025611963,soil,Lerista,3332.91,6.49,57.82,0.5,11.82,43,0.864752681,20.44275337,0.957617799,0,2,1,,
Lerista_picturata,5,1,2,0.053586264,0.005366511,0.036417614,sandy soil,Lerista,4117.78,9.536715371,81.1,1.1354,13.6248,43,1.4,16.8,0.916599392,2,2,1,,
